10256,1,10259,,8/13/08 19:15,61,25868,"<code>one</code>",288,Haydar,814702,,6/29/13 21:35,3/19/14 12:58,"aone",<android><linux><eclipse>,12,3,45,6/19/13 12:54,
26362,1,46766,,8/25/08 16:39,11,14606,"<code>two</code>",822,Reto Meier,421372,,11/20/13 7:37,11/20/13 7:37,"btwo",<android><overlay><android-mapview>,1,0,1,,
28380,1,3869611,,8/26/08 15:30,28,59179,"<code>one one</code>",1281,Rich Lawrence,750613,,6/30/12 11:22,3/19/14 13:00,"ctwo",<android><authentication><proxy>,14,2,7,,
30953,1,279067,,8/27/08 19:19,37,47285,"<code>one one one</code>",3022,Thomas,-1,,9/10/08 14:13,8/21/13 16:26,"dthree",<iphone><android><frameworks><middleware>,18,0,32,1/10/13 16:38,
36881,1,68078,,8/31/08 14:36,18,35688,"<code>one two</code>",1197,lnediger,597657,,2/28/13 0:13,2/28/13 0:13,"ethree",<java><android><android-tabhost>,6,0,11,,
51988,1,3448945,,9/9/08 14:18,74,15909,"<code>two one</code>",654,Nicholas,474193,,8/3/12 12:03,10/4/13 4:21,"fthree",<iphone><android><blackberry><mobile><webos>,18,0,33,6/14/12 16:46,4/12/11 18:45
64745,1,,,9/15/08 17:04,22,20800,"<code>three</code>",,maximumcode,474193,,8/3/12 12:20,1/20/14 17:29,"gthree",<android><java-me><mobile>,4,1,11,,
101754,1,8189603,,9/19/08 13:21,811,219334,"<code>one one one one</code>",9951,e-satis,11596,,6/10/09 5:24,2/13/14 10:30,"hfour",<python><android><ase><android-scripting>,17,9,301,,
103366,1,,,9/19/08 16:16,11,4223,"<code>one one two</code>",,ANdrew Gibson,1961262,sgm,1/18/13 10:00,1/18/13 10:00,"ifour",<android><opengl-es><android-emulator>,1,1,,,
121762,1,121853,,9/23/08 15:32,14,8999,"<code>one three</code>",7363,Lucas S.,7363,Lucas S.,9/23/08 15:39,6/27/11 9:15,"jfour",<java><android><multithreading><ipc>,2,0,5,,
144254,1,144280,,9/27/08 19:13,35,3790,"<code>two two</code>",1965,Jonathan Holland,225647,,10/29/12 20:39,10/29/12 20:39,"kfour",<android>,7,2,24,11/22/11 16:40,
146020,1,146086,,9/28/08 14:53,45,16518,"<code>one one one one one</code>",1965,Jonathan Holland,951448,,2/2/13 17:03,2/2/13 17:03,"lfive",<java><android><eclipse><visual-studio><ide>,4,4,7,,9/28/08 14:53
150781,1,150922,,9/29/08 21:31,7,3446,"<code>two two one</code>",5291,Wilco,5171,Dan Dyer,10/17/08 13:16,5/31/11 9:03,"mfive",<iphone><android><jvm>,5,2,2,,
151777,1,151940,,9/30/08 4:41,856,308966,"<code>three two</code>",61,Bernard,61,,10/31/13 14:18,4/16/14 17:11,"nfive",<android><application-state>,15,3,526,,
173298,1,,,10/6/08 6:01,5,2091,"<code>two one one one</code>",22076,raj,309086,Simucal,10/23/12 10:23,11/8/12 10:40,"ofive",<java><android><c++><iphone>,10,0,1,1/15/13 16:57,10/6/08 6:02
196946,1,198662,,10/13/08 7:44,9,14234,"<code>five</code>",18027,Tahir Akhtar,469983,,10/1/12 12:27,10/1/12 12:27,"pfive",<android><http><webview>,2,0,2,,
